usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-04-01,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-01,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.03,0.03,token,not_available,
2026-04-01,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.08,0.08,token,not_available,
2026-04-01,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.02,0.02,token,not_available,
2026-04-01,Claude Opus 4.5,Default,rezolve-digest,message,≤ 200k,input_no_cache,0.02,0.02,token,not_available,
2026-04-01,Claude Opus 4.5,Default,rezolve-digest,message,≤ 200k,output,0.02,0.02,token,not_available,
2026-04-01,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-01,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,2.23,2.23,token,global,
2026-04-01,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,1.87,1.87,token,global,
2026-04-01,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,0.76,0.76,token,global,
2026-04-01,Claude Sonnet 4.5,Default,rezolve-leon,message,≤ 200k,input_no_cache,0.05,0.05,token,not_available,
2026-04-01,Claude Sonnet 4.5,Default,rezolve-leon,message,≤ 200k,output,0.08,0.08,token,not_available,
2026-04-01,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-01,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,2.82,2.82,token,global,
2026-04-01,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,5.52,5.52,token,global,
2026-04-01,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,1.65,1.65,token,global,
2026-04-01,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,0.22,0.22,token,global,
2026-04-01,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.03,0.03,token,global,
2026-04-01,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-01,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,0.21,0.21,token,global,
